🚀🚀 Script starts...
output_model_dir='ckpt/conversion/qwen3_4b_i_sft_lora_conversion/v1.1/20260814_235452/'
Using LoRA with config: peft_config=LoraConfig(task_type=None, peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, peft_version='0.20.0', base_model_name_or_path=None, revision=None, inference_mode=False, r=16, target_modules={'down_proj', 'up_proj', 'v_proj', 'gate_proj', 'k_proj', 'o_proj', 'q_proj'}, exclude_modules=None, lora_alpha=32, lora_dropout=0.05, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', trainable_token_indices=None, loftq_config={}, eva_config=None, corda_config=None, lora_ga_config=None, use_dora=False, velora_config=None, alora_invocation_tokens=None, use_qalora=False, qalora_group_size=16, monteclora_config=None, layer_replication=None, runtime_config=LoraRuntimeConfig(ephemeral_gpu_offload=False), lora_bias=False, target_parameters=None, use_bdlora=None, arrow_config=None, ensure_weight_tying=False)
Training args: training_args=SFTConfig(output_dir='ckpt/conversion/qwen3_4b_i_sft_lora_conversion/v1.1/20260814_235452/', per_device_train_batch_size=1, num_train_epochs=10, max_steps=-1, learning_rate=0.0001, lr_scheduler_type=<SchedulerType.LINEAR: 'linear'>, lr_scheduler_kwargs=None, warmup_steps=0.03, optim=<OptimizerNames.ADAMW_TORCH_FUSED: 'adamw_torch_fused'>, optim_args=None, weight_decay=0.0, adam_beta1=0.9, adam_beta2=0.999, adam_epsilon=1e-08, optim_target_modules=None, gradient_accumulation_steps=16, average_tokens_across_devices=True, max_grad_norm=1.0, label_smoothing_factor=0.0, bf16=True, fp16=False, bf16_full_eval=False, fp16_full_eval=False, tf32=None, gradient_checkpointing=True, gradient_checkpointing_kwargs={'use_reentrant': False}, torch_compile=False, torch_compile_backend=None, torch_compile_mode=None, use_liger_kernel=False, liger_kernel_config=None, use_cache=False, neftune_noise_alpha=None, torch_empty_cache_steps=None, auto_find_batch_size=False, logging_strategy=<IntervalStrategy.STEPS: 'steps'>, logging_steps=16, logging_first_step=False, log_on_each_node=True, logging_nan_inf_filter=True, include_num_input_tokens_seen='no', log_level='passive', log_level_replica='warning', disable_tqdm=False, report_to=['wandb'], run_name='qwen3_4b_i_sft_lora_conversion_v1.1_20260814_235452', project='huggingface', trackio_space_id=None, trackio_bucket_id=None, trackio_static_space_id=None, eval_strategy=<IntervalStrategy.EPOCH: 'epoch'>, eval_steps=None, eval_delay=0, per_device_eval_batch_size=1, prediction_loss_only=False, eval_on_start=False, eval_do_concat_batches=True, eval_use_gather_object=False, eval_accumulation_steps=1, include_for_metrics=[], batch_eval_metrics=False, save_only_model=False, save_strategy=<SaveStrategy.EPOCH: 'epoch'>, save_steps=None, save_on_each_node=False, save_total_limit=None, enable_jit_checkpoint=False, push_to_hub=False, hub_token=None, hub_private_repo=None, hub_model_id=None, hub_strategy=<HubStrategy.EVERY_SAVE: 'every_save'>, hub_always_push=False, hub_revision=None, load_best_model_at_end=True, metric_for_best_model='eval_loss', greater_is_better=False, ignore_data_skip=False, restore_callback_states_from_checkpoint=False, full_determinism=False, seed=42, data_seed=None, use_cpu=False, accelerator_config=AcceleratorConfig(split_batches=False, dispatch_batches=None, even_batches=True, use_seedable_sampler=True, non_blocking=False, gradient_accumulation_kwargs=None, use_configured_state=False), parallelism_config=None, dataloader_drop_last=False, dataloader_num_workers=0, dataloader_pin_memory=True, dataloader_persistent_workers=False, dataloader_prefetch_factor=None, remove_unused_columns=True, label_names=None, train_sampling_strategy='random', length_column_name='length', ddp_find_unused_parameters=None, ddp_bucket_cap_mb=None, ddp_broadcast_buffers=None, ddp_static_graph=None, ddp_backend=None, ddp_timeout=1800, fsdp=None, fsdp_config=None, deepspeed=None, debug=[], skip_memory_metrics=True, do_train=False, do_eval=True, do_predict=False, resume_from_checkpoint=None, warmup_ratio=None, logging_dir=None, local_rank=-1, model_init_kwargs=None, router_aux_loss_coef=0.001, trust_remote_code=False, chat_template_path=None, dataset_text_field='text', dataset_kwargs=None, dataset_num_proc=None, eos_token=None, max_length=8192, truncation_mode='keep_start', shuffle_dataset=False, packing=False, packing_strategy='bfd', padding_free=False, pad_to_multiple_of=None, eval_packing=None, completion_only_loss=None, assistant_only_loss=False, loss_type='chunked_nll', activation_offloading=False, pad_token=None)
🕙🕙 Start training...
{'loss': '1.664', 'grad_norm': '2.242', 'learning_rate': '1.136e-05', 'entropy': '0.5744', 'num_tokens': '8.625e+04', 'mean_token_accuracy': '0.6016', 'epoch': '0.03662'}
{'loss': '1.339', 'grad_norm': '1.068', 'learning_rate': '2.348e-05', 'entropy': '0.7282', 'num_tokens': '1.725e+05', 'mean_token_accuracy': '0.6288', 'epoch': '0.07324'}
{'loss': '1.013', 'grad_norm': '0.5827', 'learning_rate': '3.561e-05', 'entropy': '1.205', 'num_tokens': '2.584e+05', 'mean_token_accuracy': '0.6455', 'epoch': '0.1099'}
{'loss': '0.8879', 'grad_norm': '0.5655', 'learning_rate': '4.773e-05', 'entropy': '1.169', 'num_tokens': '3.652e+05', 'mean_token_accuracy': '0.6557', 'epoch': '0.1465'}
{'loss': '0.7894', 'grad_norm': '0.7556', 'learning_rate': '5.985e-05', 'entropy': '0.9752', 'num_tokens': '4.535e+05', 'mean_token_accuracy': '0.6964', 'epoch': '0.1831'}
{'loss': '0.7344', 'grad_norm': '1.022', 'learning_rate': '7.197e-05', 'entropy': '0.8992', 'num_tokens': '5.549e+05', 'mean_token_accuracy': '0.7084', 'epoch': '0.2197'}
{'loss': '0.7079', 'grad_norm': '1.084', 'learning_rate': '8.409e-05', 'entropy': '0.8428', 'num_tokens': '6.402e+05', 'mean_token_accuracy': '0.7261', 'epoch': '0.2563'}
{'loss': '0.6442', 'grad_norm': '0.9022', 'learning_rate': '9.621e-05', 'entropy': '0.7623', 'num_tokens': '7.462e+05', 'mean_token_accuracy': '0.745', 'epoch': '0.2929'}
{'loss': '0.6383', 'grad_norm': '0.9407', 'learning_rate': '9.974e-05', 'entropy': '0.697', 'num_tokens': '8.35e+05', 'mean_token_accuracy': '0.7628', 'epoch': '0.3296'}
{'loss': '0.5572', 'grad_norm': '1.329', 'learning_rate': '9.936e-05', 'entropy': '0.6638', 'num_tokens': '9.252e+05', 'mean_token_accuracy': '0.777', 'epoch': '0.3662'}
{'loss': '0.5655', 'grad_norm': '1.485', 'learning_rate': '9.899e-05', 'entropy': '0.6412', 'num_tokens': '9.973e+05', 'mean_token_accuracy': '0.7745', 'epoch': '0.4028'}
{'loss': '0.5401', 'grad_norm': '0.7964', 'learning_rate': '9.861e-05', 'entropy': '0.631', 'num_tokens': '1.09e+06', 'mean_token_accuracy': '0.7821', 'epoch': '0.4394'}
{'loss': '0.5285', 'grad_norm': '1.264', 'learning_rate': '9.823e-05', 'entropy': '0.6002', 'num_tokens': '1.185e+06', 'mean_token_accuracy': '0.7914', 'epoch': '0.476'}
{'loss': '0.4577', 'grad_norm': '0.9156', 'learning_rate': '9.785e-05', 'entropy': '0.5377', 'num_tokens': '1.284e+06', 'mean_token_accuracy': '0.8129', 'epoch': '0.5127'}
{'loss': '0.4858', 'grad_norm': '1.452', 'learning_rate': '9.748e-05', 'entropy': '0.5537', 'num_tokens': '1.395e+06', 'mean_token_accuracy': '0.8064', 'epoch': '0.5493'}
{'loss': '0.4654', 'grad_norm': '1.094', 'learning_rate': '9.71e-05', 'entropy': '0.55', 'num_tokens': '1.521e+06', 'mean_token_accuracy': '0.8127', 'epoch': '0.5859'}
{'loss': '0.4326', 'grad_norm': '1.509', 'learning_rate': '9.672e-05', 'entropy': '0.4914', 'num_tokens': '1.612e+06', 'mean_token_accuracy': '0.8257', 'epoch': '0.6225'}
{'loss': '0.4392', 'grad_norm': '1.631', 'learning_rate': '9.634e-05', 'entropy': '0.5103', 'num_tokens': '1.699e+06', 'mean_token_accuracy': '0.8181', 'epoch': '0.6591'}
{'loss': '0.4258', 'grad_norm': '1.24', 'learning_rate': '9.597e-05', 'entropy': '0.4775', 'num_tokens': '1.8e+06', 'mean_token_accuracy': '0.826', 'epoch': '0.6958'}
{'loss': '0.4034', 'grad_norm': '1.443', 'learning_rate': '9.559e-05', 'entropy': '0.4608', 'num_tokens': '1.909e+06', 'mean_token_accuracy': '0.8428', 'epoch': '0.7324'}
{'loss': '0.3807', 'grad_norm': '1.056', 'learning_rate': '9.521e-05', 'entropy': '0.4304', 'num_tokens': '2.015e+06', 'mean_token_accuracy': '0.8416', 'epoch': '0.769'}
{'loss': '0.3783', 'grad_norm': '1.646', 'learning_rate': '9.483e-05', 'entropy': '0.4325', 'num_tokens': '2.134e+06', 'mean_token_accuracy': '0.8462', 'epoch': '0.8056'}
{'loss': '0.3457', 'grad_norm': '1.444', 'learning_rate': '9.445e-05', 'entropy': '0.3966', 'num_tokens': '2.252e+06', 'mean_token_accuracy': '0.8628', 'epoch': '0.8422'}
{'loss': '0.3308', 'grad_norm': '1.543', 'learning_rate': '9.408e-05', 'entropy': '0.3966', 'num_tokens': '2.352e+06', 'mean_token_accuracy': '0.862', 'epoch': '0.8788'}
