model_name,num_train_epoch,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
qwen3_4b_i_sft_lora_conversion,1,875.0,1.0,0.39085714285714285,0.036571428571428574,0.038857142857142854,0.038857142857142854,0.13506356638016498,0.2533149505007795
qwen3_4b_i_sft_lora_conversion,2,875.0,1.0,0.48342857142857143,0.10057142857142858,0.10285714285714286,0.104,0.2327167274212448,0.34801746125732863
qwen3_4b_i_sft_lora_conversion,3,875.0,1.0,0.5965714285714285,0.2537142857142857,0.25485714285714284,0.256,0.3799581350497191,0.4279574292082826
qwen3_4b_i_sft_lora_conversion,4,875.0,1.0,0.6514285714285715,0.36914285714285716,0.3702857142857143,0.3702857142857143,0.47450261872581195,0.4557716546935928
qwen3_4b_i_sft_lora_conversion,5,875.0,1.0,0.76,0.49257142857142855,0.49257142857142855,0.49257142857142855,0.5891155680773091,0.45000588085981563
qwen3_4b_i_sft_lora_conversion,6,875.0,1.0,0.8331428571428572,0.6125714285714285,0.6125714285714285,0.6125714285714285,0.6984843529258253,0.42236464173991606
qwen3_4b_i_sft_lora_conversion,7,875.0,1.0,0.8651428571428571,0.664,0.664,0.664,0.7355770020003669,0.40622641224627537
qwen3_4b_i_sft_lora_conversion,8,875.0,1.0,0.8765714285714286,0.7017142857142857,0.7017142857142857,0.7017142857142857,0.7705304410497605,0.38797710932664403
qwen3_4b_i_sft_lora_conversion,9,875.0,1.0,0.904,0.7474285714285714,0.7474285714285714,0.7474285714285714,0.8039483767416908,0.36698088275305185
qwen3_4b_i_sft_lora_conversion,10,875.0,1.0,0.9017142857142857,0.7462857142857143,0.7462857142857143,0.7462857142857143,0.8036897434949203,0.36847979748087895
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,1,875.0,1.0,0.9108571428571428,0.7302857142857143,0.7302857142857143,0.7302857142857143,0.8035310950562353,0.36101338272464367
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,2,875.0,1.0,0.912,0.736,0.736,0.736,0.8065366015119726,0.3596664144426342
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,3,875.0,1.0,0.9085714285714286,0.7257142857142858,0.7257142857142858,0.7257142857142858,0.797917865207826,0.3651548710018325
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,4,875.0,1.0,0.9028571428571428,0.7348571428571429,0.7348571428571429,0.7348571428571429,0.7990708509450121,0.3668430776076984
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,5,875.0,1.0,0.904,0.7222857142857143,0.7222857142857143,0.7222857142857143,0.7923937439378592,0.36948894598292087
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,6,875.0,1.0,0.9062857142857143,0.728,0.728,0.728,0.7991683895262156,0.363840279094882
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,7,875.0,1.0,0.9074285714285715,0.7291428571428571,0.7291428571428571,0.7291428571428571,0.8001877005061331,0.3630057836699556
qwen3_vl_4b_i_sft_lora_conversion,1,875.0,1.0,0.464,0.06857142857142857,0.06971428571428571,0.06971428571428571,0.1811049763118978,0.2972819335649477
qwen3_vl_4b_i_sft_lora_conversion,2,875.0,1.0,0.536,0.16457142857142856,0.16457142857142856,0.16457142857142856,0.2789887998354725,0.3804812503479678
qwen3_vl_4b_i_sft_lora_conversion,3,875.0,1.0,0.6262857142857143,0.288,0.288,0.28914285714285715,0.409878306336793,0.4368589992069966
qwen3_vl_4b_i_sft_lora_conversion,4,875.0,1.0,0.6994285714285714,0.41942857142857143,0.4217142857142857,0.4217142857142857,0.5247766167519594,0.4549987229282855
qwen3_vl_4b_i_sft_lora_conversion,5,875.0,1.0,0.7668571428571429,0.5131428571428571,0.5131428571428571,0.5131428571428571,0.609190470115086,0.4460907590104968
qwen3_vl_4b_i_sft_lora_conversion,6,875.0,1.0,0.8011428571428572,0.5794285714285714,0.5794285714285714,0.5794285714285714,0.6697996729260067,0.4320388865580532
qwen3_vl_4b_i_sft_lora_conversion,7,875.0,1.0,0.8674285714285714,0.664,0.664,0.664,0.7367398661704676,0.402976353710062
qwen3_vl_4b_i_sft_lora_conversion,8,875.0,1.0,0.8982857142857142,0.7177142857142857,0.7177142857142857,0.7177142857142857,0.7854564260138427,0.37477321104328243
qwen3_vl_4b_i_sft_lora_conversion,9,875.0,1.0,0.8994285714285715,0.7222857142857143,0.7222857142857143,0.7222857142857143,0.7891912064112574,0.37310417754219904
qwen3_vl_4b_i_sft_lora_conversion,10,875.0,1.0,0.8982857142857142,0.7268571428571429,0.7268571428571429,0.7268571428571429,0.7937154600568007,0.37139286023675727
qwen3_vl_4b_i_sft_lora_ocr,1,875.0,1.0,0.184,0.0,0.05828571428571429,0.05828571428571429,0.08161714648828777,0.2479645403520118
qwen3_vl_4b_i_sft_lora_ocr,2,875.0,1.0,0.18057142857142858,0.0,0.05714285714285714,0.05714285714285714,0.08118253133594099,0.24699854661829074
qwen3_vl_4b_i_sft_lora_ocr,3,875.0,1.0,0.21828571428571428,0.0,0.056,0.056,0.08734695782107113,0.24766712557113554
qwen3_vl_4b_i_sft_lora_ocr,4,875.0,1.0,0.248,0.0,0.04914285714285714,0.04914285714285714,0.08971803338822605,0.24112950514161316
qwen3_vl_4b_i_sft_lora_ocr,5,875.0,1.0,0.23885714285714285,0.0,0.044571428571428574,0.044571428571428574,0.08560658023128905,0.23243436811138232
qwen3_vl_4b_i_sft_lora_ocr,6,875.0,1.0,0.224,0.001142857142857143,0.04,0.04,0.076791562968292,0.22338722959541277
qwen3_vl_4b_i_sft_lora_ocr_conversion,1,875.0,1.0,0.48914285714285716,0.06857142857142857,0.06857142857142857,0.06857142857142857,0.1973172648079468,0.3077487088805378
qwen3_vl_4b_i_sft_lora_ocr_conversion,2,875.0,1.0,0.5554285714285714,0.19428571428571428,0.19542857142857142,0.19542857142857142,0.3129349056558727,0.39962600915021107
qwen3_vl_4b_i_sft_lora_ocr_conversion,3,875.0,1.0,0.6354285714285715,0.30857142857142855,0.30857142857142855,0.30857142857142855,0.42196886595117217,0.4413503525900128
qwen3_vl_4b_i_sft_lora_ocr_conversion,4,875.0,1.0,0.7371428571428571,0.45371428571428574,0.45371428571428574,0.45371428571428574,0.5555778033087884,0.4520998608887944
qwen3_vl_4b_i_sft_lora_ocr_conversion,5,875.0,1.0,0.7782857142857142,0.5222857142857142,0.5234285714285715,0.5234285714285715,0.6249729996095851,0.4461191191263259
qwen3_vl_4b_i_sft_lora_ocr_conversion,6,875.0,1.0,0.8388571428571429,0.6068571428571429,0.6068571428571429,0.6068571428571429,0.69637543497709,0.4191702845052344
qwen3_vl_4b_i_sft_lora_ocr_conversion,7,875.0,1.0,0.8925714285714286,0.6822857142857143,0.6822857142857143,0.6834285714285714,0.7601366145476823,0.386601669269836
qwen3_vl_4b_i_sft_lora_ocr_conversion,8,875.0,1.0,0.8834285714285715,0.6925714285714286,0.6925714285714286,0.6925714285714286,0.7671773787901608,0.3851967601454793
qwen3_vl_4b_i_sft_lora_ocr_conversion,9,875.0,1.0,0.9051428571428571,0.7188571428571429,0.7188571428571429,0.7188571428571429,0.7914797262959923,0.3684734460586902
qwen3_vl_4b_i_sft_lora_ocr_conversion,10,875.0,1.0,0.9165714285714286,0.7348571428571429,0.7348571428571429,0.7348571428571429,0.8063661399930032,0.3594311602429751
