model_name,num_train_epoch,num_samples,gt_valid_ratio,pred_valid_ratio,em_ratio,can_smiles_match_ratio,inchikey_match_ratio,tanimoto_sim_mean,tanimoto_sim_std
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,1,80.0,1.0,0.675,0.2625,0.2625,0.2625,0.39243740142765526,0.4136731645907414
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,2,80.0,1.0,0.7,0.275,0.275,0.275,0.42259153794216175,0.4156436651389722
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,3,80.0,1.0,0.6875,0.25,0.25,0.25,0.3992702356528636,0.40746985329956853
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,4,80.0,1.0,0.675,0.2375,0.2375,0.2375,0.40273565546506285,0.40549383567859004
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,5,80.0,1.0,0.7,0.25,0.25,0.25,0.40862890654175643,0.4060706619495526
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,6,80.0,1.0,0.7,0.25,0.25,0.25,0.4158465566250606,0.4051879067967328
qwen3_vl_4b_i_grpo_lora_from_sft_lora_ocr_conversion,7,80.0,1.0,0.675,0.275,0.275,0.275,0.4124355236996446,0.42034628800395
qwen3_vl_4b_i_sft_lora_conversion,1,80.0,1.0,0.525,0.0375,0.0375,0.0375,0.16191607636556107,0.23135121893269497
qwen3_vl_4b_i_sft_lora_conversion,2,80.0,1.0,0.575,0.075,0.075,0.075,0.22705733608696085,0.324004070587923
qwen3_vl_4b_i_sft_lora_conversion,3,80.0,1.0,0.575,0.1125,0.1125,0.1125,0.23530617900646394,0.3248121845386572
qwen3_vl_4b_i_sft_lora_conversion,4,80.0,1.0,0.6125,0.1875,0.1875,0.1875,0.3178234647629453,0.38957531501753656
qwen3_vl_4b_i_sft_lora_conversion,5,80.0,1.0,0.6375,0.175,0.175,0.175,0.32517385733657106,0.38780237318125055
qwen3_vl_4b_i_sft_lora_conversion,6,80.0,1.0,0.6,0.2125,0.2125,0.2125,0.33463217220300406,0.4046108573823103
qwen3_vl_4b_i_sft_lora_conversion,7,80.0,1.0,0.6875,0.225,0.225,0.225,0.3590317077038742,0.4013465417420503
qwen3_vl_4b_i_sft_lora_conversion,8,80.0,1.0,0.6375,0.2,0.2,0.2,0.33507620945867345,0.3924493512817157
qwen3_vl_4b_i_sft_lora_conversion,9,80.0,1.0,0.675,0.2125,0.2125,0.2125,0.34315961733853056,0.3928630198136246
qwen3_vl_4b_i_sft_lora_conversion,10,80.0,1.0,0.675,0.225,0.225,0.225,0.35395862315987237,0.4000731397341771
qwen3_vl_4b_i_sft_lora_ocr,1,80.0,1.0,0.225,0.0125,0.0125,0.0125,0.07029335983954124,0.1937945291276752
qwen3_vl_4b_i_sft_lora_ocr,2,80.0,1.0,0.225,0.0125,0.025,0.025,0.06679149993895774,0.1885215439342903
qwen3_vl_4b_i_sft_lora_ocr,3,80.0,1.0,0.325,0.025,0.025,0.0375,0.11026520998908211,0.24612033110674367
qwen3_vl_4b_i_sft_lora_ocr,4,80.0,1.0,0.4375,0.0375,0.0375,0.0375,0.17326387742168742,0.29811611367973456
qwen3_vl_4b_i_sft_lora_ocr,5,80.0,1.0,0.3875,0.0375,0.0375,0.0375,0.12752368391373156,0.24409557679456836
qwen3_vl_4b_i_sft_lora_ocr,6,80.0,1.0,0.4125,0.0375,0.0375,0.05,0.14685218076072953,0.26422121690076733
qwen3_vl_4b_i_sft_lora_ocr_conversion,1,80.0,1.0,0.5,0.05,0.05,0.05,0.20054922523613863,0.29060387190625636
qwen3_vl_4b_i_sft_lora_ocr_conversion,2,80.0,1.0,0.5375,0.1125,0.1125,0.1125,0.24834393505006366,0.33709487975170493
qwen3_vl_4b_i_sft_lora_ocr_conversion,3,80.0,1.0,0.5625,0.125,0.125,0.125,0.2665650059039425,0.3628172462247795
qwen3_vl_4b_i_sft_lora_ocr_conversion,4,80.0,1.0,0.6,0.25,0.25,0.25,0.3562841196481246,0.4134975701897955
qwen3_vl_4b_i_sft_lora_ocr_conversion,5,80.0,1.0,0.6,0.2,0.2,0.2,0.34768077180048057,0.3988646170148452
qwen3_vl_4b_i_sft_lora_ocr_conversion,6,80.0,1.0,0.6375,0.225,0.225,0.225,0.39291989019488166,0.40932025627384205
qwen3_vl_4b_i_sft_lora_ocr_conversion,7,80.0,1.0,0.625,0.275,0.275,0.275,0.4128165314834796,0.4306534774945774
qwen3_vl_4b_i_sft_lora_ocr_conversion,8,80.0,1.0,0.675,0.2625,0.2625,0.2625,0.4017794054895526,0.4149348187190003
qwen3_vl_4b_i_sft_lora_ocr_conversion,9,80.0,1.0,0.675,0.2375,0.2375,0.2375,0.38435260026925366,0.4066870908716471
qwen3_vl_4b_i_sft_lora_ocr_conversion,10,80.0,1.0,0.675,0.2625,0.2625,0.2625,0.40104258785168145,0.4153899331631493
