                                                                                                                                         
{'loss': '1.913', 'grad_norm': '1.176', 'learning_rate': '5.556e-05', 'entropy': '1.146', 'num_tokens': '1.464e+04', 'mean_token_accuracy': '0.5311', 'epoch': '0.03653'}
{'loss': '1.286', 'grad_norm': '0.7831', 'learning_rate': '9.953e-05', 'entropy': '1.823', 'num_tokens': '2.843e+04', 'mean_token_accuracy': '0.5795', 'epoch': '0.07306'}
{'loss': '0.9831', 'grad_norm': '0.6873', 'learning_rate': '9.764e-05', 'entropy': '1.276', 'num_tokens': '4.49e+04', 'mean_token_accuracy': '0.6152', 'epoch': '0.1096'}
{'loss': '0.9159', 'grad_norm': '0.6445', 'learning_rate': '9.576e-05', 'entropy': '1.125', 'num_tokens': '6.028e+04', 'mean_token_accuracy': '0.6545', 'epoch': '0.1461'}
{'loss': '0.9033', 'grad_norm': '1.055', 'learning_rate': '9.388e-05', 'entropy': '1.08', 'num_tokens': '7.407e+04', 'mean_token_accuracy': '0.6627', 'epoch': '0.1826'}
{'loss': '0.7505', 'grad_norm': '0.7344', 'learning_rate': '9.199e-05', 'entropy': '0.9092', 'num_tokens': '8.934e+04', 'mean_token_accuracy': '0.704', 'epoch': '0.2192'}
{'loss': '0.6579', 'grad_norm': '1.067', 'learning_rate': '9.011e-05', 'entropy': '0.7864', 'num_tokens': '1.042e+05', 'mean_token_accuracy': '0.739', 'epoch': '0.2557'}
{'loss': '0.6617', 'grad_norm': '0.9194', 'learning_rate': '8.822e-05', 'entropy': '0.785', 'num_tokens': '1.202e+05', 'mean_token_accuracy': '0.7413', 'epoch': '0.2922'}
{'loss': '0.5737', 'grad_norm': '1.898', 'learning_rate': '8.634e-05', 'entropy': '0.7559', 'num_tokens': '1.354e+05', 'mean_token_accuracy': '0.7506', 'epoch': '0.3288'}
{'loss': '0.53', 'grad_norm': '2.433', 'learning_rate': '8.445e-05', 'entropy': '0.6586', 'num_tokens': '1.514e+05', 'mean_token_accuracy': '0.7939', 'epoch': '0.3653'}
{'loss': '0.4804', 'grad_norm': '2.629', 'learning_rate': '8.257e-05', 'entropy': '0.5477', 'num_tokens': '1.671e+05', 'mean_token_accuracy': '0.8223', 'epoch': '0.4018'}
{'loss': '0.5025', 'grad_norm': '1.524', 'learning_rate': '8.068e-05', 'entropy': '0.5737', 'num_tokens': '1.795e+05', 'mean_token_accuracy': '0.805', 'epoch': '0.4384'}
{'loss': '0.4666', 'grad_norm': '2.12', 'learning_rate': '7.88e-05', 'entropy': '0.5153', 'num_tokens': '1.919e+05', 'mean_token_accuracy': '0.8207', 'epoch': '0.4749'}
{'loss': '0.3893', 'grad_norm': '1.432', 'learning_rate': '7.691e-05', 'entropy': '0.4829', 'num_tokens': '2.108e+05', 'mean_token_accuracy': '0.8468', 'epoch': '0.5114'}
{'loss': '0.3604', 'grad_norm': '1.191', 'learning_rate': '7.503e-05', 'entropy': '0.4341', 'num_tokens': '2.267e+05', 'mean_token_accuracy': '0.8586', 'epoch': '0.5479'}
{'loss': '0.3529', 'grad_norm': '1.923', 'learning_rate': '7.314e-05', 'entropy': '0.3981', 'num_tokens': '2.425e+05', 'mean_token_accuracy': '0.8743', 'epoch': '0.5845'}
{'loss': '0.3407', 'grad_norm': '2.354', 'learning_rate': '7.126e-05', 'entropy': '0.3817', 'num_tokens': '2.585e+05', 'mean_token_accuracy': '0.8674', 'epoch': '0.621'}
{'loss': '0.271', 'grad_norm': '1.418', 'learning_rate': '6.938e-05', 'entropy': '0.3177', 'num_tokens': '2.738e+05', 'mean_token_accuracy': '0.9009', 'epoch': '0.6575'}
{'loss': '0.324', 'grad_norm': '2.155', 'learning_rate': '6.749e-05', 'entropy': '0.3473', 'num_tokens': '2.897e+05', 'mean_token_accuracy': '0.8884', 'epoch': '0.6941'}
{'loss': '0.2693', 'grad_norm': '3.857', 'learning_rate': '6.561e-05', 'entropy': '0.3178', 'num_tokens': '3.054e+05', 'mean_token_accuracy': '0.9011', 'epoch': '0.7306'}
{'loss': '0.2449', 'grad_norm': '2.353', 'learning_rate': '6.372e-05', 'entropy': '0.2871', 'num_tokens': '3.215e+05', 'mean_token_accuracy': '0.9105', 'epoch': '0.7671'}
{'loss': '0.1855', 'grad_norm': '1.708', 'learning_rate': '6.184e-05', 'entropy': '0.2531', 'num_tokens': '3.381e+05', 'mean_token_accuracy': '0.9199', 'epoch': '0.8037'}
{'loss': '0.2008', 'grad_norm': '3.286', 'learning_rate': '5.995e-05', 'entropy': '0.2608', 'num_tokens': '3.521e+05', 'mean_token_accuracy': '0.9188', 'epoch': '0.8402'}
{'loss': '0.1714', 'grad_norm': '2.425', 'learning_rate': '5.807e-05', 'entropy': '0.225', 'num_tokens': '3.674e+05', 'mean_token_accuracy': '0.9281', 'epoch': '0.8767'}
{'loss': '0.1823', 'grad_norm': '2.654', 'learning_rate': '5.618e-05', 'entropy': '0.2369', 'num_tokens': '3.842e+05', 'mean_token_accuracy': '0.9245', 'epoch': '0.9132'}
{'loss': '0.1589', 'grad_norm': '2.257', 'learning_rate': '5.43e-05', 'entropy': '0.2282', 'num_tokens': '3.997e+05', 'mean_token_accuracy': '0.9288', 'epoch': '0.9498'}
{'loss': '0.154', 'grad_norm': '4.092', 'learning_rate': '5.241e-05', 'entropy': '0.2047', 'num_tokens': '4.183e+05', 'mean_token_accuracy': '0.9336', 'epoch': '0.9863'}
{'loss': '0.1255', 'grad_norm': '2.85', 'learning_rate': '5.053e-05', 'entropy': '0.1948', 'num_tokens': '4.313e+05', 'mean_token_accuracy': '0.9391', 'epoch': '1.023'}
{'loss': '0.1253', 'grad_norm': '4.662', 'learning_rate': '4.865e-05', 'entropy': '0.1867', 'num_tokens': '4.454e+05', 'mean_token_accuracy': '0.9371', 'epoch': '1.059'}
{'loss': '0.1218', 'grad_norm': '1.559', 'learning_rate': '4.676e-05', 'entropy': '0.1808', 'num_tokens': '4.632e+05', 'mean_token_accuracy': '0.9401', 'epoch': '1.096'}
{'loss': '0.1153', 'grad_norm': '1.438', 'learning_rate': '4.488e-05', 'entropy': '0.1685', 'num_tokens': '4.786e+05', 'mean_token_accuracy': '0.9413', 'epoch': '1.132'}
{'loss': '0.1045', 'grad_norm': '1.496', 'learning_rate': '4.299e-05', 'entropy': '0.1599', 'num_tokens': '4.944e+05', 'mean_token_accuracy': '0.9468', 'epoch': '1.169'}
{'loss': '0.1119', 'grad_norm': '1.49', 'learning_rate': '4.111e-05', 'entropy': '0.1796', 'num_tokens': '5.092e+05', 'mean_token_accuracy': '0.9348', 'epoch': '1.205'}
{'loss': '0.1138', 'grad_norm': '1.462', 'learning_rate': '3.922e-05', 'entropy': '0.1822', 'num_tokens': '5.222e+05', 'mean_token_accuracy': '0.9385', 'epoch': '1.242'}
{'loss': '0.0987', 'grad_norm': '1.788', 'learning_rate': '3.734e-05', 'entropy': '0.1794', 'num_tokens': '5.373e+05', 'mean_token_accuracy': '0.943', 'epoch': '1.279'}
{'loss': '0.09326', 'grad_norm': '3.697', 'learning_rate': '3.545e-05', 'entropy': '0.1616', 'num_tokens': '5.527e+05', 'mean_token_accuracy': '0.9447', 'epoch': '1.315'}
{'loss': '0.08712', 'grad_norm': '1.217', 'learning_rate': '3.357e-05', 'entropy': '0.1523', 'num_tokens': '5.672e+05', 'mean_token_accuracy': '0.949', 'epoch': '1.352'}
{'loss': '0.08702', 'grad_norm': '1.605', 'learning_rate': '3.168e-05', 'entropy': '0.1331', 'num_tokens': '5.826e+05', 'mean_token_accuracy': '0.952', 'epoch': '1.388'}
{'loss': '0.08019', 'grad_norm': '0.9151', 'learning_rate': '2.98e-05', 'entropy': '0.1504', 'num_tokens': '5.992e+05', 'mean_token_accuracy': '0.951', 'epoch': '1.425'}
{'loss': '0.09378', 'grad_norm': '0.8815', 'learning_rate': '2.792e-05', 'entropy': '0.1502', 'num_tokens': '6.142e+05', 'mean_token_accuracy': '0.9477', 'epoch': '1.461'}
{'loss': '0.08275', 'grad_norm': '2.023', 'learning_rate': '2.603e-05', 'entropy': '0.1464', 'num_tokens': '6.32e+05', 'mean_token_accuracy': '0.9494', 'epoch': '1.498'}
{'loss': '0.07475', 'grad_norm': '0.4408', 'learning_rate': '2.415e-05', 'entropy': '0.1295', 'num_tokens': '6.496e+05', 'mean_token_accuracy': '0.9555', 'epoch': '1.534'}
{'loss': '0.07366', 'grad_norm': '0.9619', 'learning_rate': '2.226e-05', 'entropy': '0.1328', 'num_tokens': '6.653e+05', 'mean_token_accuracy': '0.9531', 'epoch': '1.571'}
{'loss': '0.07301', 'grad_norm': '2.659', 'learning_rate': '2.038e-05', 'entropy': '0.1348', 'num_tokens': '6.807e+05', 'mean_token_accuracy': '0.9515', 'epoch': '1.607'}
{'loss': '0.08036', 'grad_norm': '3.371', 'learning_rate': '1.849e-05', 'entropy': '0.1443', 'num_tokens': '6.958e+05', 'mean_token_accuracy': '0.9477', 'epoch': '1.644'}
{'loss': '0.07406', 'grad_norm': '0.6182', 'learning_rate': '1.661e-05', 'entropy': '0.1284', 'num_tokens': '7.109e+05', 'mean_token_accuracy': '0.9548', 'epoch': '1.68'}
{'loss': '0.06989', 'grad_norm': '0.556', 'learning_rate': '1.472e-05', 'entropy': '0.1316', 'num_tokens': '7.27e+05', 'mean_token_accuracy': '0.9507', 'epoch': '1.717'}
{'loss': '0.06526', 'grad_norm': '0.7053', 'learning_rate': '1.284e-05', 'entropy': '0.1319', 'num_tokens': '7.443e+05', 'mean_token_accuracy': '0.9516', 'epoch': '1.753'}
{'loss': '0.0705', 'grad_norm': '1.185', 'learning_rate': '1.095e-05', 'entropy': '0.1175', 'num_tokens': '7.59e+05', 'mean_token_accuracy': '0.9578', 'epoch': '1.79'}
{'loss': '0.06725', 'grad_norm': '0.7031', 'learning_rate': '9.069e-06', 'entropy': '0.1369', 'num_tokens': '7.739e+05', 'mean_token_accuracy': '0.9522', 'epoch': '1.826'}
{'loss': '0.06292', 'grad_norm': '0.6008', 'learning_rate': '7.185e-06', 'entropy': '0.1228', 'num_tokens': '7.889e+05', 'mean_token_accuracy': '0.9549', 'epoch': '1.863'}
{'loss': '0.06945', 'grad_norm': '0.8594', 'learning_rate': '5.3e-06', 'entropy': '0.127', 'num_tokens': '8.047e+05', 'mean_token_accuracy': '0.9521', 'epoch': '1.9'}
{'loss': '0.06943', 'grad_norm': '0.6215', 'learning_rate': '3.416e-06', 'entropy': '0.1198', 'num_tokens': '8.197e+05', 'mean_token_accuracy': '0.9517', 'epoch': '1.936'}
{'loss': '0.06295', 'grad_norm': '0.4461', 'learning_rate': '1.531e-06', 'entropy': '0.1265', 'num_tokens': '8.356e+05', 'mean_token_accuracy': '0.9504', 'epoch': '1.973'}
{'train_runtime': '1548', 'train_samples_per_second': '4.527', 'train_steps_per_second': '0.566', 'train_loss': '0.3037', 'entropy': '0.1177', 'num_tokens': '8.474e+05', 'mean_token_accuracy': '0.9542', 'epoch': '2'}
✅✅ Training finished. Saving model to ckpt/conversion/qwen3_4b_i_sft_lora_conversion/20260812_112227/...
✅✅ Script completed.
