                                                                                                                                                          
{'loss': '1.915', 'grad_norm': '1.16', 'learning_rate': '5.556e-05', 'entropy': '1.146', 'num_tokens': '1.464e+04', 'mean_token_accuracy': '0.5299', 'epoch': '0.03653'}
{'loss': '1.288', 'grad_norm': '0.798', 'learning_rate': '9.953e-05', 'entropy': '1.832', 'num_tokens': '2.843e+04', 'mean_token_accuracy': '0.5771', 'epoch': '0.07306'}
{'loss': '0.9862', 'grad_norm': '0.7008', 'learning_rate': '9.764e-05', 'entropy': '1.277', 'num_tokens': '4.49e+04', 'mean_token_accuracy': '0.6164', 'epoch': '0.1096'}
{'loss': '0.917', 'grad_norm': '0.6575', 'learning_rate': '9.576e-05', 'entropy': '1.13', 'num_tokens': '6.028e+04', 'mean_token_accuracy': '0.657', 'epoch': '0.1461'}
{'loss': '0.902', 'grad_norm': '1.059', 'learning_rate': '9.388e-05', 'entropy': '1.072', 'num_tokens': '7.407e+04', 'mean_token_accuracy': '0.6629', 'epoch': '0.1826'}
{'loss': '0.7529', 'grad_norm': '0.7103', 'learning_rate': '9.199e-05', 'entropy': '0.9109', 'num_tokens': '8.934e+04', 'mean_token_accuracy': '0.7049', 'epoch': '0.2192'}
{'loss': '0.6596', 'grad_norm': '1.07', 'learning_rate': '9.011e-05', 'entropy': '0.7939', 'num_tokens': '1.042e+05', 'mean_token_accuracy': '0.7412', 'epoch': '0.2557'}
{'loss': '0.6599', 'grad_norm': '0.9126', 'learning_rate': '8.822e-05', 'entropy': '0.7865', 'num_tokens': '1.202e+05', 'mean_token_accuracy': '0.7395', 'epoch': '0.2922'}
{'loss': '0.5733', 'grad_norm': '1.987', 'learning_rate': '8.634e-05', 'entropy': '0.7518', 'num_tokens': '1.354e+05', 'mean_token_accuracy': '0.7537', 'epoch': '0.3288'}
{'loss': '0.5275', 'grad_norm': '2.157', 'learning_rate': '8.445e-05', 'entropy': '0.6599', 'num_tokens': '1.514e+05', 'mean_token_accuracy': '0.793', 'epoch': '0.3653'}
{'loss': '0.4759', 'grad_norm': '2.423', 'learning_rate': '8.257e-05', 'entropy': '0.5446', 'num_tokens': '1.671e+05', 'mean_token_accuracy': '0.8237', 'epoch': '0.4018'}
{'loss': '0.5015', 'grad_norm': '1.539', 'learning_rate': '8.068e-05', 'entropy': '0.5713', 'num_tokens': '1.795e+05', 'mean_token_accuracy': '0.8096', 'epoch': '0.4384'}
{'loss': '0.467', 'grad_norm': '2.062', 'learning_rate': '7.88e-05', 'entropy': '0.5297', 'num_tokens': '1.919e+05', 'mean_token_accuracy': '0.8207', 'epoch': '0.4749'}
{'loss': '0.3847', 'grad_norm': '1.484', 'learning_rate': '7.691e-05', 'entropy': '0.4665', 'num_tokens': '2.108e+05', 'mean_token_accuracy': '0.8486', 'epoch': '0.5114'}
{'loss': '0.3546', 'grad_norm': '1.035', 'learning_rate': '7.503e-05', 'entropy': '0.4278', 'num_tokens': '2.267e+05', 'mean_token_accuracy': '0.8577', 'epoch': '0.5479'}
{'loss': '0.3532', 'grad_norm': '2.314', 'learning_rate': '7.314e-05', 'entropy': '0.3958', 'num_tokens': '2.425e+05', 'mean_token_accuracy': '0.8735', 'epoch': '0.5845'}
{'loss': '0.3382', 'grad_norm': '2.363', 'learning_rate': '7.126e-05', 'entropy': '0.3792', 'num_tokens': '2.585e+05', 'mean_token_accuracy': '0.8716', 'epoch': '0.621'}
{'loss': '0.2697', 'grad_norm': '2.232', 'learning_rate': '6.938e-05', 'entropy': '0.3205', 'num_tokens': '2.738e+05', 'mean_token_accuracy': '0.901', 'epoch': '0.6575'}
{'loss': '0.3134', 'grad_norm': '2.183', 'learning_rate': '6.749e-05', 'entropy': '0.3449', 'num_tokens': '2.897e+05', 'mean_token_accuracy': '0.8934', 'epoch': '0.6941'}
{'loss': '0.2642', 'grad_norm': '2.543', 'learning_rate': '6.561e-05', 'entropy': '0.3087', 'num_tokens': '3.054e+05', 'mean_token_accuracy': '0.9049', 'epoch': '0.7306'}
{'loss': '0.2403', 'grad_norm': '1.683', 'learning_rate': '6.372e-05', 'entropy': '0.2776', 'num_tokens': '3.215e+05', 'mean_token_accuracy': '0.9107', 'epoch': '0.7671'}
{'loss': '0.1801', 'grad_norm': '1.788', 'learning_rate': '6.184e-05', 'entropy': '0.2448', 'num_tokens': '3.381e+05', 'mean_token_accuracy': '0.9227', 'epoch': '0.8037'}
{'loss': '0.1949', 'grad_norm': '2.746', 'learning_rate': '5.995e-05', 'entropy': '0.2563', 'num_tokens': '3.521e+05', 'mean_token_accuracy': '0.9223', 'epoch': '0.8402'}
{'loss': '0.1655', 'grad_norm': '2.258', 'learning_rate': '5.807e-05', 'entropy': '0.2283', 'num_tokens': '3.674e+05', 'mean_token_accuracy': '0.9291', 'epoch': '0.8767'}
{'loss': '0.1784', 'grad_norm': '2.602', 'learning_rate': '5.618e-05', 'entropy': '0.2362', 'num_tokens': '3.842e+05', 'mean_token_accuracy': '0.9254', 'epoch': '0.9132'}
{'loss': '0.1535', 'grad_norm': '2.825', 'learning_rate': '5.43e-05', 'entropy': '0.2218', 'num_tokens': '3.997e+05', 'mean_token_accuracy': '0.9305', 'epoch': '0.9498'}
{'loss': '0.1498', 'grad_norm': '2.469', 'learning_rate': '5.241e-05', 'entropy': '0.2049', 'num_tokens': '4.183e+05', 'mean_token_accuracy': '0.9318', 'epoch': '0.9863'}
{'loss': '0.1227', 'grad_norm': '2.569', 'learning_rate': '5.053e-05', 'entropy': '0.1838', 'num_tokens': '4.313e+05', 'mean_token_accuracy': '0.9417', 'epoch': '1.023'}
{'loss': '0.1254', 'grad_norm': '3.651', 'learning_rate': '4.865e-05', 'entropy': '0.1882', 'num_tokens': '4.454e+05', 'mean_token_accuracy': '0.939', 'epoch': '1.059'}
{'loss': '0.1227', 'grad_norm': '1.107', 'learning_rate': '4.676e-05', 'entropy': '0.1819', 'num_tokens': '4.632e+05', 'mean_token_accuracy': '0.9415', 'epoch': '1.096'}
{'loss': '0.1133', 'grad_norm': '2.124', 'learning_rate': '4.488e-05', 'entropy': '0.1627', 'num_tokens': '4.786e+05', 'mean_token_accuracy': '0.9411', 'epoch': '1.132'}
{'loss': '0.1017', 'grad_norm': '1.423', 'learning_rate': '4.299e-05', 'entropy': '0.1566', 'num_tokens': '4.944e+05', 'mean_token_accuracy': '0.9455', 'epoch': '1.169'}
{'loss': '0.1119', 'grad_norm': '1.402', 'learning_rate': '4.111e-05', 'entropy': '0.1775', 'num_tokens': '5.092e+05', 'mean_token_accuracy': '0.9376', 'epoch': '1.205'}
{'loss': '0.1043', 'grad_norm': '1.517', 'learning_rate': '3.922e-05', 'entropy': '0.1736', 'num_tokens': '5.222e+05', 'mean_token_accuracy': '0.9396', 'epoch': '1.242'}
{'loss': '0.09298', 'grad_norm': '0.9586', 'learning_rate': '3.734e-05', 'entropy': '0.1717', 'num_tokens': '5.373e+05', 'mean_token_accuracy': '0.9452', 'epoch': '1.279'}
{'loss': '0.0968', 'grad_norm': '1.968', 'learning_rate': '3.545e-05', 'entropy': '0.1568', 'num_tokens': '5.527e+05', 'mean_token_accuracy': '0.9456', 'epoch': '1.315'}
{'loss': '0.09156', 'grad_norm': '1.353', 'learning_rate': '3.357e-05', 'entropy': '0.1537', 'num_tokens': '5.672e+05', 'mean_token_accuracy': '0.9487', 'epoch': '1.352'}
{'loss': '0.08675', 'grad_norm': '1.122', 'learning_rate': '3.168e-05', 'entropy': '0.1332', 'num_tokens': '5.826e+05', 'mean_token_accuracy': '0.9514', 'epoch': '1.388'}
{'loss': '0.07538', 'grad_norm': '0.6794', 'learning_rate': '2.98e-05', 'entropy': '0.1446', 'num_tokens': '5.992e+05', 'mean_token_accuracy': '0.9514', 'epoch': '1.425'}
{'loss': '0.0939', 'grad_norm': '0.8638', 'learning_rate': '2.792e-05', 'entropy': '0.1474', 'num_tokens': '6.142e+05', 'mean_token_accuracy': '0.9495', 'epoch': '1.461'}
{'loss': '0.0822', 'grad_norm': '1.013', 'learning_rate': '2.603e-05', 'entropy': '0.145', 'num_tokens': '6.32e+05', 'mean_token_accuracy': '0.9514', 'epoch': '1.498'}
{'loss': '0.07162', 'grad_norm': '0.5057', 'learning_rate': '2.415e-05', 'entropy': '0.1233', 'num_tokens': '6.496e+05', 'mean_token_accuracy': '0.9551', 'epoch': '1.534'}
{'loss': '0.07175', 'grad_norm': '1.128', 'learning_rate': '2.226e-05', 'entropy': '0.1317', 'num_tokens': '6.653e+05', 'mean_token_accuracy': '0.9535', 'epoch': '1.571'}
{'loss': '0.06969', 'grad_norm': '3.557', 'learning_rate': '2.038e-05', 'entropy': '0.1343', 'num_tokens': '6.807e+05', 'mean_token_accuracy': '0.9521', 'epoch': '1.607'}
{'loss': '0.08074', 'grad_norm': '1.767', 'learning_rate': '1.849e-05', 'entropy': '0.1417', 'num_tokens': '6.958e+05', 'mean_token_accuracy': '0.9473', 'epoch': '1.644'}
{'loss': '0.07056', 'grad_norm': '0.8486', 'learning_rate': '1.661e-05', 'entropy': '0.1256', 'num_tokens': '7.109e+05', 'mean_token_accuracy': '0.9543', 'epoch': '1.68'}
{'loss': '0.06773', 'grad_norm': '0.5728', 'learning_rate': '1.472e-05', 'entropy': '0.1286', 'num_tokens': '7.27e+05', 'mean_token_accuracy': '0.951', 'epoch': '1.717'}
{'loss': '0.06481', 'grad_norm': '0.5798', 'learning_rate': '1.284e-05', 'entropy': '0.1292', 'num_tokens': '7.443e+05', 'mean_token_accuracy': '0.9505', 'epoch': '1.753'}
{'loss': '0.07021', 'grad_norm': '0.9393', 'learning_rate': '1.095e-05', 'entropy': '0.1162', 'num_tokens': '7.59e+05', 'mean_token_accuracy': '0.9579', 'epoch': '1.79'}
{'loss': '0.06678', 'grad_norm': '0.6557', 'learning_rate': '9.069e-06', 'entropy': '0.1366', 'num_tokens': '7.739e+05', 'mean_token_accuracy': '0.9514', 'epoch': '1.826'}
{'loss': '0.06283', 'grad_norm': '0.5915', 'learning_rate': '7.185e-06', 'entropy': '0.1221', 'num_tokens': '7.889e+05', 'mean_token_accuracy': '0.9545', 'epoch': '1.863'}
{'loss': '0.06859', 'grad_norm': '0.783', 'learning_rate': '5.3e-06', 'entropy': '0.1257', 'num_tokens': '8.047e+05', 'mean_token_accuracy': '0.9519', 'epoch': '1.9'}
{'loss': '0.06885', 'grad_norm': '0.7122', 'learning_rate': '3.416e-06', 'entropy': '0.1188', 'num_tokens': '8.197e+05', 'mean_token_accuracy': '0.9524', 'epoch': '1.936'}
{'loss': '0.06299', 'grad_norm': '0.4726', 'learning_rate': '1.531e-06', 'entropy': '0.1257', 'num_tokens': '8.356e+05', 'mean_token_accuracy': '0.9492', 'epoch': '1.973'}
{'train_runtime': '2071', 'train_samples_per_second': '3.385', 'train_steps_per_second': '0.423', 'train_loss': '0.3019', 'entropy': '0.1157', 'num_tokens': '8.474e+05', 'mean_token_accuracy': '0.9554', 'epoch': '2'}
✅✅ Training finished. Saving model to ckpt/conversion/qwen3_4b_i_sft_lora_conversion/20260812_125424/...
✅✅ Script completed.
