100%|██████████████████████████████████████████████████████████████████████████████████████████████████████| 438/438 [39:02<00:00,  5.35s/it]
{'loss': '1.369', 'grad_norm': '0.9141', 'learning_rate': '9.976e-05', 'entropy': '0.8459', 'num_tokens': '9.082e+04', 'mean_token_accuracy': '0.617', 'epoch': '0.07325'}
{'loss': '0.9551', 'grad_norm': '0.7172', 'learning_rate': '9.599e-05', 'entropy': '1.291', 'num_tokens': '1.849e+05', 'mean_token_accuracy': '0.6387', 'epoch': '0.1465'}
{'loss': '0.7873', 'grad_norm': '0.9058', 'learning_rate': '9.222e-05', 'entropy': '1.003', 'num_tokens': '2.794e+05', 'mean_token_accuracy': '0.6846', 'epoch': '0.2197'}
{'loss': '0.7331', 'grad_norm': '0.6064', 'learning_rate': '8.844e-05', 'entropy': '0.8822', 'num_tokens': '3.934e+05', 'mean_token_accuracy': '0.7155', 'epoch': '0.293'}
{'loss': '0.6489', 'grad_norm': '0.8493', 'learning_rate': '8.467e-05', 'entropy': '0.8072', 'num_tokens': '5.052e+05', 'mean_token_accuracy': '0.7314', 'epoch': '0.3662'}
{'loss': '0.6035', 'grad_norm': '1.055', 'learning_rate': '8.09e-05', 'entropy': '0.6991', 'num_tokens': '6.039e+05', 'mean_token_accuracy': '0.7659', 'epoch': '0.4395'}
{'loss': '0.5854', 'grad_norm': '1.022', 'learning_rate': '7.712e-05', 'entropy': '0.7159', 'num_tokens': '6.874e+05', 'mean_token_accuracy': '0.7673', 'epoch': '0.5127'}
{'loss': '0.5232', 'grad_norm': '1.185', 'learning_rate': '7.335e-05', 'entropy': '0.6098', 'num_tokens': '7.76e+05', 'mean_token_accuracy': '0.7902', 'epoch': '0.586'}
{'loss': '0.4829', 'grad_norm': '1.367', 'learning_rate': '6.958e-05', 'entropy': '0.5586', 'num_tokens': '8.652e+05', 'mean_token_accuracy': '0.8032', 'epoch': '0.6592'}
{'loss': '0.4429', 'grad_norm': '1.203', 'learning_rate': '6.58e-05', 'entropy': '0.522', 'num_tokens': '9.603e+05', 'mean_token_accuracy': '0.823', 'epoch': '0.7325'}
{'loss': '0.4245', 'grad_norm': '1.429', 'learning_rate': '6.203e-05', 'entropy': '0.4748', 'num_tokens': '1.059e+06', 'mean_token_accuracy': '0.8353', 'epoch': '0.8057'}
{'loss': '0.4235', 'grad_norm': '1.857', 'learning_rate': '5.825e-05', 'entropy': '0.5093', 'num_tokens': '1.143e+06', 'mean_token_accuracy': '0.8268', 'epoch': '0.879'}
{'loss': '0.3749', 'grad_norm': '2.359', 'learning_rate': '5.448e-05', 'entropy': '0.4596', 'num_tokens': '1.233e+06', 'mean_token_accuracy': '0.8473', 'epoch': '0.9522'}
{'loss': '0.3752', 'grad_norm': '1.842', 'learning_rate': '5.071e-05', 'entropy': '0.4417', 'num_tokens': '1.335e+06', 'mean_token_accuracy': '0.8509', 'epoch': '1.023'}
{'loss': '0.2937', 'grad_norm': '1.795', 'learning_rate': '4.693e-05', 'entropy': '0.3798', 'num_tokens': '1.431e+06', 'mean_token_accuracy': '0.8769', 'epoch': '1.096'}
{'loss': '0.2766', 'grad_norm': '1.851', 'learning_rate': '4.316e-05', 'entropy': '0.3364', 'num_tokens': '1.539e+06', 'mean_token_accuracy': '0.8942', 'epoch': '1.169'}
{'loss': '0.2492', 'grad_norm': '1.186', 'learning_rate': '3.939e-05', 'entropy': '0.332', 'num_tokens': '1.63e+06', 'mean_token_accuracy': '0.896', 'epoch': '1.243'}
{'loss': '0.2293', 'grad_norm': '1.889', 'learning_rate': '3.561e-05', 'entropy': '0.2963', 'num_tokens': '1.733e+06', 'mean_token_accuracy': '0.9047', 'epoch': '1.316'}
{'loss': '0.2593', 'grad_norm': '1.788', 'learning_rate': '3.184e-05', 'entropy': '0.3118', 'num_tokens': '1.819e+06', 'mean_token_accuracy': '0.8993', 'epoch': '1.389'}
