100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████| 438/438 [39:39<00:00,  5.43s/it]
{'loss': '1.394', 'grad_norm': '0.7586', 'learning_rate': '9.976e-05', 'entropy': '0.8283', 'num_tokens': '1.055e+05', 'mean_token_accuracy': '0.6248', 'epoch': '0.07314'}
{'loss': '0.9184', 'grad_norm': '0.5265', 'learning_rate': '9.599e-05', 'entropy': '1.194', 'num_tokens': '1.838e+05', 'mean_token_accuracy': '0.652', 'epoch': '0.1463'}
{'loss': '0.7891', 'grad_norm': '0.7329', 'learning_rate': '9.222e-05', 'entropy': '0.9917', 'num_tokens': '2.919e+05', 'mean_token_accuracy': '0.6958', 'epoch': '0.2194'}
{'loss': '0.7585', 'grad_norm': '0.7945', 'learning_rate': '8.844e-05', 'entropy': '0.9357', 'num_tokens': '3.773e+05', 'mean_token_accuracy': '0.6967', 'epoch': '0.2926'}
{'loss': '0.6639', 'grad_norm': '0.643', 'learning_rate': '8.467e-05', 'entropy': '0.804', 'num_tokens': '4.749e+05', 'mean_token_accuracy': '0.7364', 'epoch': '0.3657'}
{'loss': '0.605', 'grad_norm': '0.908', 'learning_rate': '8.09e-05', 'entropy': '0.7263', 'num_tokens': '5.76e+05', 'mean_token_accuracy': '0.7495', 'epoch': '0.4389'}
{'loss': '0.5597', 'grad_norm': '1.404', 'learning_rate': '7.712e-05', 'entropy': '0.6637', 'num_tokens': '6.669e+05', 'mean_token_accuracy': '0.778', 'epoch': '0.512'}
{'loss': '0.5348', 'grad_norm': '0.9847', 'learning_rate': '7.335e-05', 'entropy': '0.6315', 'num_tokens': '7.677e+05', 'mean_token_accuracy': '0.794', 'epoch': '0.5851'}
{'loss': '0.4845', 'grad_norm': '1.62', 'learning_rate': '6.958e-05', 'entropy': '0.5765', 'num_tokens': '8.715e+05', 'mean_token_accuracy': '0.8033', 'epoch': '0.6583'}
{'loss': '0.4558', 'grad_norm': '1.224', 'learning_rate': '6.58e-05', 'entropy': '0.5398', 'num_tokens': '9.704e+05', 'mean_token_accuracy': '0.8168', 'epoch': '0.7314'}
{'loss': '0.4333', 'grad_norm': '1.3', 'learning_rate': '6.203e-05', 'entropy': '0.5118', 'num_tokens': '1.076e+06', 'mean_token_accuracy': '0.8251', 'epoch': '0.8046'}
