                                                                                                                                                                     
                                                                                                                                                                     
{'eval_loss': '0.02134', 'eval_runtime': '99.26', 'eval_samples_per_second': '8.805', 'eval_steps_per_second': '8.805', 'eval_entropy': '0.0114', 'eval_num_tokens': '0', 'eval_mean_token_accuracy': '0.9944', 'epoch': 0}
{'loss': '0.008982', 'grad_norm': '0.5988', 'learning_rate': '0', 'entropy': '0.009012', 'num_tokens': '3.054e+04', 'mean_token_accuracy': '0.9976', 'epoch': '0.04762'}
{'loss': '0.001584', 'grad_norm': '0.05167', 'learning_rate': '1.429e-05', 'entropy': '0.004017', 'num_tokens': '4.118e+04', 'mean_token_accuracy': '0.9994', 'epoch': '0.09524'}
{'loss': '0.006056', 'grad_norm': '0.1405', 'learning_rate': '2.857e-05', 'entropy': '0.005945', 'num_tokens': '6.375e+04', 'mean_token_accuracy': '0.9982', 'epoch': '0.1429'}
{'loss': '0.001691', 'grad_norm': '0.05472', 'learning_rate': '4.286e-05', 'entropy': '0.003854', 'num_tokens': '7.484e+04', 'mean_token_accuracy': '0.9995', 'epoch': '0.1905'}
{'loss': '0.001375', 'grad_norm': '0.0757', 'learning_rate': '5.714e-05', 'entropy': '0.003172', 'num_tokens': '8.778e+04', 'mean_token_accuracy': '0.9997', 'epoch': '0.2381'}
{'loss': '0.003441', 'grad_norm': '0.2054', 'learning_rate': '7.143e-05', 'entropy': '0.004925', 'num_tokens': '1.013e+05', 'mean_token_accuracy': '0.9991', 'epoch': '0.2857'}
{'loss': '0.001745', 'grad_norm': '0.1762', 'learning_rate': '8.571e-05', 'entropy': '0.004226', 'num_tokens': '1.227e+05', 'mean_token_accuracy': '0.9998', 'epoch': '0.3333'}
{'loss': '0.003392', 'grad_norm': '0.2916', 'learning_rate': '0.0001', 'entropy': '0.004575', 'num_tokens': '1.401e+05', 'mean_token_accuracy': '0.9993', 'epoch': '0.381'}
{'loss': '0.002483', 'grad_norm': '0.1306', 'learning_rate': '9.951e-05', 'entropy': '0.004165', 'num_tokens': '1.532e+05', 'mean_token_accuracy': '0.9982', 'epoch': '0.4286'}
{'loss': '0.004506', 'grad_norm': '0.1099', 'learning_rate': '9.901e-05', 'entropy': '0.005541', 'num_tokens': '1.645e+05', 'mean_token_accuracy': '0.9981', 'epoch': '0.4762'}
{'loss': '0.00227', 'grad_norm': '0.05237', 'learning_rate': '9.852e-05', 'entropy': '0.004061', 'num_tokens': '1.738e+05', 'mean_token_accuracy': '0.9993', 'epoch': '0.5238'}
